東京,とうきょう
東,ひがし
前,まえ
名前,なまえ
午前,ごぜん
国,くに
中国,ちゅうごく
男の人,おとこのひと
女の人,おんなのひと
区,く
市,し
先生,せんせい
先月,せんげつ
先,さき
先週,せんしゅう
一週間,いっしゅうかん
毎日,まいにち
毎週,まいしゅう
毎月,まいつき
毎年,まいとし
午前,ごぜん
午後,ごご
後ろ,うしろ
後,あと
見ます,みます
見せます,みせます
見えます,みえます
見学,けんがく
食べます,たべます
食事,しょくじ
食べ物,たべもの
飲みます,のみます
飲み物,のみもの
飲食,いんしょく
買います,かいます
買い物,かいもの
動物,どうぶつ
荷物,にもつ
物,もの
行きます,いきます
旅行,りょこう
休みます,やすみます
休み,やすみ
休日,きゅうじつ
今,いま
今週,こんしゅう
今月,こんげつ
今日,きょう
今年,ことし
来ます,きます
来る,くる
来ない,こない
来週,らいしゅう
来月,らいげつ
来年,らいねん
帰ります,かえります
日帰り,ひがえり
帰国,きこく
会います,あいます
会社,かいしゃ
会話,かいわ
社会,しゃかい
聞きます,ききます
新聞,しんぶん
聞こえます,きこえます
読みます,よみます
書きます,かきます
辞書,じしょ
図書館,としょかん
話します,はなします
話,はなし
電話,でんわ
肉,にく
牛肉,ぎゅうにく
豚肉,ぶたにく
鶏肉,とりにく
料理,りょうり
料金,りょうきん
野菜,やさい
一時半,いちじはん
半分,はんぶん
大学,だいがく
大きい,おおきい
大人,おとな
小学校,しょうがっこう
小さい,ちいさい
